ClusterName,NodeGroupName,InstanceTypes,DesiredSize,MinSize,MaxSize,AMIType,DiskSize,LaunchTemplateName,LaunchTemplateVersion,AMIID,Subnets,SecurityGroups
ex-karpenter-fargate,nodeGroup2Launch,,2,2,4,CUSTOM,N/A,eksLaunchTemplate1,1,ami-074be47313f84fa38,"ex-karpenter-fargate-public-us-west-2a, ex-karpenter-fargate-private-us-west-2c, ex-karpenter-fargate-public-us-west-2b, ex-karpenter-fargate-public-us-west-2c, ex-karpenter-fargate-private-us-west-2a, ex-karpenter-fargate-private-us-west-2b",eks-cluster-sg-ex-karpenter-fargate-1513714113
ex-karpenter-fargate,nodegroup1,m5.2xlarge,1,1,4,AL2_x86_64,20,N/A,N/A,N/A,"ex-karpenter-fargate-private-us-west-2c, ex-karpenter-fargate-private-us-west-2a, ex-karpenter-fargate-private-us-west-2b",eks-cluster-sg-ex-karpenter-fargate-1513714113
